institution,service,price,date,time,start_dt,location
27 Sellő Mozgásszervi Terápiás Centrum,Anyajegyszűrés,35310.0,2025-08-17,13:27:00,2025-08-17 13:27:00,Budaörsi út 29
Aesthetica Orvosi Központ,Anyajegyszűrés,35350.0,2025-07-10,08:32:00,2025-07-10 08:32:00,"Budapest, Váci út 76"
Affidea Magyarország,Anyajegyszűrés,36112.0,2025-07-27,14:52:00,2025-07-27 14:52:00,"Budapest, Fövény utca 4"
Affidea Magyarország,Anyajegyszűrés,36112.0,2025-07-11,12:00:00,2025-07-11 12:00:00,"Budapest, Lövőház utca 2"
Affidea Magyarország,Anyajegyszűrés,36112.0,2025-07-14,06:44:00,2025-07-14 06:44:00,"Budapest, Szabadság tér 7."
Affidea Magyarország,Anyajegyszűrés,36112.0,2025-08-17,17:31:00,2025-08-17 17:31:00,"Budapest, Hercegprímás utca 14"
Affidea Magyarország,Anyajegyszűrés,36112.0,2025-08-20,07:52:00,2025-08-20 07:52:00,"Budapest, Örs vezér tere 25."
Affidea Magyarország,Anyajegyszűrés,36112.0,2025-07-18,06:01:00,2025-07-18 06:01:00,"Győr, Vasvári pál utca 2"
Caring Medical Center,Anyajegyszűrés,39768.0,2025-08-11,18:55:00,2025-08-11 18:55:00,"Budapest, Zsigmond tér 10."
Central Clinic,Anyajegyszűrés,29311.0,2025-07-17,13:05:00,2025-07-17 13:05:00,"Budapest, Rákóczi út 4"
Claro Klinika,Anyajegyszűrés,33478.0,2025-08-13,10:54:00,2025-08-13 10:54:00,"Budapest, Teréz krt. 24"
Clinexpert,Anyajegyszűrés,31245.0,2025-07-15,10:39:00,2025-07-15 10:39:00,"Budapest, Kaszásdűlő utca 7."
CMF Medical,Anyajegyszűrés,30859.0,2025-07-21,12:16:00,2025-07-21 12:16:00,"Budapest, Bécsi út 154"
CMF Medical,Anyajegyszűrés,30859.0,2025-08-14,14:31:00,2025-08-14 14:31:00,"Pilisvörösvár, Árpád utca 21"
CMF Medical,Anyajegyszűrés,30859.0,2025-08-18,17:01:00,2025-08-18 17:01:00,"Jászberény, Kossuth Lajos utca 5."
CMF Medical,Anyajegyszűrés,30859.0,2025-07-23,10:56:00,2025-07-23 10:56:00,"Biatorbágy, Mester utca 2"
CMF Medical,Anyajegyszűrés,30859.0,2025-08-05,18:20:00,2025-08-05 18:20:00,"Szentendre, Stromfeld Aurél utca 1/A"
Coordimed,Anyajegyszűrés,30714.0,2025-07-21,10:08:00,2025-07-21 10:08:00,"Budapest, Völgy utca 5"
Delfin Ultrahang,Anyajegyszűrés,38595.0,2025-07-12,06:02:00,2025-07-12 06:02:00,"Budapest, Pünkösdfürdő utca 48."
Dimenzió Orvosi Klinika,Anyajegyszűrés,30869.0,2025-07-29,14:47:00,2025-07-29 14:47:00,"Budaörs, Lomnici köz 19."
Dimenzió-Med Egészségközpont,Anyajegyszűrés,31465.0,2025-07-11,10:27:00,2025-07-11 10:27:00,"Budapest, Vécsey u. 3."
Doktor24,Anyajegyszűrés,37580.0,2025-08-07,06:08:00,2025-08-07 06:08:00,"Budapest, Koszorúslány u. 1."
Doktor24,Anyajegyszűrés,37580.0,2025-08-03,14:16:00,2025-08-03 14:16:00,"Budapest, Váci út 37."
Doktor24,Anyajegyszűrés,37580.0,2025-08-14,19:40:00,2025-08-14 19:40:00,"Budapest, Könyves Kálmán krt. 12-14."
Doktor24,Anyajegyszűrés,37580.0,2025-07-21,15:33:00,2025-07-21 15:33:00,"Paks, Tolnai út 93."
Doktor24,Anyajegyszűrés,37580.0,2025-07-12,16:41:00,2025-07-12 16:41:00,"Pécs, Málics Ottó utca 1."
Doktor24,Anyajegyszűrés,37580.0,2025-07-20,17:14:00,2025-07-20 17:14:00,"Szeged, Petőfi S. Sgt. 39."
Doktor24,Anyajegyszűrés,37580.0,2025-08-11,19:26:00,2025-08-11 19:26:00,"Székesfehérvár, Huszár utca 2."
Egressy Medical,Anyajegyszűrés,30137.0,2025-08-11,14:08:00,2025-08-11 14:08:00,"Budapest, Egressy út 28-30."
Emineo Magánkórház,Anyajegyszűrés,38811.0,2025-08-19,07:44:00,2025-08-19 07:44:00,"Budapest, Hegyalja út 7."
EndoCare Endokrinológiai Központ,Anyajegyszűrés,29037.0,2025-07-28,12:06:00,2025-07-28 12:06:00,"Budapest, Lechner Ödön fasor 7."
EntiTárs Egészségközpont,Anyajegyszűrés,33099.0,2025-08-09,10:08:00,2025-08-09 10:08:00,"Budapest, Vilánnyi út 22/A"
Erzsébet Dentál & Medical,Anyajegyszűrés,39100.0,2025-07-13,06:51:00,2025-07-13 06:51:00,Budapest Lajtha László utca 24.
ForHerMed Klinika,Anyajegyszűrés,32999.0,2025-08-05,08:29:00,2025-08-05 08:29:00,"Budapest, Bimbó út 108."
Főnix Medical Center,Anyajegyszűrés,29317.0,2025-08-02,13:14:00,2025-08-02 13:14:00,"Budapest, Sasadi út 184"
Gasztro Klinika,Anyajegyszűrés,39145.0,2025-07-30,07:31:00,2025-07-30 07:31:00,"Budapest, Bokor utca 17"
Geomedical,Anyajegyszűrés,37746.0,2025-07-11,10:19:00,2025-07-11 10:19:00,"Budapest, Kókai utca 6"
Globe Medical Center,Anyajegyszűrés,35994.0,2025-07-16,07:50:00,2025-07-16 07:50:00,"Budapest, Szalay utca 2"
Golden Medical Center,Anyajegyszűrés,31653.0,2025-07-11,15:37:00,2025-07-11 15:37:00,"Budapest, Tutaj utca 8."
Halas Medical Egészségközpont,Anyajegyszűrés,31170.0,2025-08-07,11:24:00,2025-08-07 11:24:00,"Kiskunhalas, Eötvös utca 19."
Haller Medical,Anyajegyszűrés,34524.0,2025-07-14,14:55:00,2025-07-14 14:55:00,"Budapest, Haller utca 23"
Halom Medical Egészségközpont,Anyajegyszűrés,38873.0,2025-07-18,06:25:00,2025-07-18 06:25:00,"Budapest, Halom utca 10"
Hattyú Medicina,Anyajegyszűrés,31796.0,2025-08-07,16:29:00,2025-08-07 16:29:00,"Budapest, Hattyú utca 16."
Health&Youth Egészségközpont,Anyajegyszűrés,36706.0,2025-07-20,16:01:00,2025-07-20 16:01:00,"Budapest,  Billegető utca 2/c"
Hepinet Ultrahanghálózat,Anyajegyszűrés,37545.0,2025-07-27,18:51:00,2025-07-27 18:51:00,"Budapest, Péterfy Sándor utca 8."
Hepinet Ultrahanghálózat,Anyajegyszűrés,35921.0,2025-08-19,14:53:00,2025-08-19 14:53:00,"Székesfehérvár, Budai út 49."
Hepinet Ultrahanghálózat,Anyajegyszűrés,28214.0,2025-08-20,19:05:00,2025-08-20 19:05:00,"Dunaújváros, Bartók Béla út 12. fszt. 1."
Hepinet Ultrahanghálózat,Anyajegyszűrés,38765.0,2025-08-06,19:39:00,2025-08-06 19:39:00,"Budapest, Fehérvári út 12. IV. emelet 408."
Hepinet Ultrahanghálózat,Anyajegyszűrés,37897.0,2025-08-14,19:31:00,2025-08-14 19:31:00,"Budapest, Árpád út 47."
Hepinet Ultrahanghálózat,Anyajegyszűrés,38235.0,2025-08-17,09:55:00,2025-08-17 09:55:00,"Budapest, Bosnyák utca 48-50. E lépcsőház fszt 1"
HT Medical Center,Anyajegyszűrés,28654.0,2025-08-14,15:58:00,2025-08-14 15:58:00,"Budapest, Pesti út 177."
Hungária Med-M,Anyajegyszűrés,28279.0,2025-07-22,08:42:00,2025-07-22 08:42:00,"Budapest, Jász u. 33-35."
Hungária Med-M,Anyajegyszűrés,28060.0,2025-08-02,10:31:00,2025-08-02 10:31:00,"Győr, Bajcsy-Zsilinszky utca 30-32"
IQB Medical Rózsadomb Center Egészségközpont,Anyajegyszűrés,31826.0,2025-08-13,13:10:00,2025-08-13 13:10:00,"Budapest, Törökvész út 87"
Istenhegyi Klinika,Anyajegyszűrés,38681.0,2025-07-12,15:30:00,2025-07-12 15:30:00,"Budapest, Istenhegyi út 31"
LilyMed termékenységi és nőgyógyászati magánrendelő,Anyajegyszűrés,33820.0,2025-08-10,13:02:00,2025-08-10 13:02:00,"Budapest, Tinódi utca 1-3"
Liv Duna Medical Center,Anyajegyszűrés,31620.0,2025-07-27,17:37:00,2025-07-27 17:37:00,"Budapest, Lechner Ödön fasor 5"
Ma Belle Medical,Anyajegyszűrés,30161.0,2025-08-16,06:33:00,2025-08-16 06:33:00,"Budapest, Andrássy út 43."
Madarász Ultrahang,Anyajegyszűrés,29387.0,2025-07-16,11:48:00,2025-07-16 11:48:00,"Budapest, Madarász Viktor utca 47-49"
Margit Híd Medical,Anyajegyszűrés,30145.0,2025-08-06,08:45:00,2025-08-06 08:45:00,"Budapest , Margit körút 5"
Mária Medical Magánrendelő,Anyajegyszűrés,29957.0,2025-07-26,07:12:00,2025-07-26 07:12:00,"Budapest, Hidegkúti út 82/b"
Medalpin Medical Center,Anyajegyszűrés,34325.0,2025-08-08,06:36:00,2025-08-08 06:36:00,"Budapest, Szállás utca 24"
Medcity Egészségközpont,Anyajegyszűrés,34414.0,2025-08-12,13:04:00,2025-08-12 13:04:00,"Budapest, Megyeri út 53"
Medical Healing Point,Anyajegyszűrés,30791.0,2025-07-25,18:26:00,2025-07-25 18:26:00,nan
Medical Point Egészségközpont,Anyajegyszűrés,34501.0,2025-07-15,07:25:00,2025-07-15 07:25:00,"Budapest, Madarász Viktor utca 47-49"
Medical Sport Rehabilitációs Központ,Anyajegyszűrés,29719.0,2025-08-20,12:02:00,2025-08-20 12:02:00,"Budapest, Bécsi út 3-5, V. em. 55"
Medicina Egészségközpont,Anyajegyszűrés,39275.0,2025-07-14,17:47:00,2025-07-14 17:47:00,"Budapest, Budakeszi út 36/C."
Medicina Egészségközpont,Anyajegyszűrés,32489.0,2025-08-20,15:54:00,2025-08-20 15:54:00,"Budapest, Istenhegyi út 31/b"
Medina Egészségcentrum,Anyajegyszűrés,37200.0,2025-08-05,15:19:00,2025-08-05 15:19:00,"Budapest, Liszt Ferenc utca 6"
Medve Medical Egészségközpont,Anyajegyszűrés,36738.0,2025-07-20,18:15:00,2025-07-20 18:15:00,"Budapest, Medve utca 34-40"
Menzou Dental,Anyajegyszűrés,36502.0,2025-08-04,06:03:00,2025-08-04 06:03:00,"Budapest, Vérmező út 6, földszint 1"
Móricz Medical Center,Anyajegyszűrés,30535.0,2025-07-17,15:20:00,2025-07-17 15:20:00,"Budapest, Móricz Zsigmond körtér 2, 1. emelet 2"
myderm Magánbőrgyógyászati és Orvosi Esztétikai Rendelő,Anyajegyszűrés,31923.0,2025-08-03,16:30:00,2025-08-03 16:30:00,"Budapest, Lövőház utca 39, I. emelet"
Oktogon Medical Center,Anyajegyszűrés,32997.0,2025-08-09,08:06:00,2025-08-09 08:06:00,"Budapest, Andrássy út 46"
Oxygen Medical Magánorvosi Központ,Anyajegyszűrés,37512.0,2025-07-16,12:52:00,2025-07-16 12:52:00,"Budapest, Árpád út 47."
Pálma Egészségügyi Központ,Anyajegyszűrés,39827.0,2025-07-12,13:32:00,2025-07-12 13:32:00,"Budapest, Margit körút 44"
Pannónia Magánorvosi Centrum,Anyajegyszűrés,36996.0,2025-08-16,11:50:00,2025-08-16 11:50:00,Budapest Pannónia utca 35
Parliament Medical Center,Anyajegyszűrés,35013.0,2025-08-09,09:07:00,2025-08-09 09:07:00,"Budapest, Vajkay utca 1"
Pasamed-Pasaréti Sportegészségügyi Centrum,Anyajegyszűrés,30760.0,2025-08-15,08:45:00,2025-08-15 08:45:00,nan
Pesti Gasztroenterológiai Centrum,Anyajegyszűrés,31567.0,2025-07-21,12:20:00,2025-07-21 12:20:00,nan
Pesti Magánorvosi Centrm,Anyajegyszűrés,34561.0,2025-08-04,06:03:00,2025-08-04 06:03:00,nan
Pozitron Medical Diagnosztika Központ,Anyajegyszűrés,34415.0,2025-07-11,17:13:00,2025-07-11 17:13:00,nan
Praxis Magánrendelő,Anyajegyszűrés,32787.0,2025-07-17,10:37:00,2025-07-17 10:37:00,nan
Primavera Medical Center,Anyajegyszűrés,29252.0,2025-07-17,14:41:00,2025-07-17 14:41:00,nan
RadiVert Diagnostic MR vizsgálatok,Anyajegyszűrés,33212.0,2025-07-30,06:56:00,2025-07-30 06:56:00,nan
Regenero Egészségház,Anyajegyszűrés,38658.0,2025-08-04,11:31:00,2025-08-04 11:31:00,nan
Remete 72 Magánrendelő,Anyajegyszűrés,32042.0,2025-07-24,10:24:00,2025-07-24 10:24:00,nan
RMC Clinics (Rózsakert Medical Center),Anyajegyszűrés,39141.0,2025-08-01,15:44:00,2025-08-01 15:44:00,nan
SanBer Medical,Anyajegyszűrés,36176.0,2025-07-18,13:34:00,2025-07-18 13:34:00,nan
Secret Medical Egészségügyi-és Orvosesztétikai Központ,Anyajegyszűrés,34086.0,2025-08-18,08:46:00,2025-08-18 08:46:00,nan
Smart Diagnosztika,Anyajegyszűrés,28151.0,2025-07-30,16:43:00,2025-07-30 16:43:00,nan
SmileyMed,Anyajegyszűrés,34358.0,2025-07-15,16:15:00,2025-07-15 16:15:00,nan
Soulutions Medical,Anyajegyszűrés,36691.0,2025-08-09,09:44:00,2025-08-09 09:44:00,nan
St. Sebastian Physio Center,Anyajegyszűrés,29288.0,2025-07-10,19:52:00,2025-07-10 19:52:00,nan
STEPS Robotikus Rehabilitációs központ,Anyajegyszűrés,33918.0,2025-07-14,12:45:00,2025-07-14 12:45:00,nan
Szent Magdolna Magánkórház,Anyajegyszűrés,32318.0,2025-08-16,18:50:00,2025-08-16 18:50:00,nan
Szigetvilág Magánorvosi Rendelő,Anyajegyszűrés,36395.0,2025-07-13,15:53:00,2025-07-13 15:53:00,nan
T&T Orvosi Rendelő,Anyajegyszűrés,33977.0,2025-07-14,07:51:00,2025-07-14 07:51:00,nan
Tabán Medical,Anyajegyszűrés,38249.0,2025-07-13,10:33:00,2025-07-13 10:33:00,nan
TritonLife,Anyajegyszűrés,37067.0,2025-07-22,17:42:00,2025-07-22 17:42:00,nan
Újbuda Medical Center,Anyajegyszűrés,35506.0,2025-08-01,10:10:00,2025-08-01 10:10:00,nan
Visegrádi40 Magánrendelő,Anyajegyszűrés,31637.0,2025-07-14,11:21:00,2025-07-14 11:21:00,nan
Vitahelp,Anyajegyszűrés,30191.0,2025-07-10,19:44:00,2025-07-10 19:44:00,nan
VP-Med Egészségcentrum és Oktatási Központ,Anyajegyszűrés,38998.0,2025-07-28,19:03:00,2025-07-28 19:03:00,nan
Wáberer Medical Center,Anyajegyszűrés,28663.0,2025-07-28,06:39:00,2025-07-28 06:39:00,nan
WellWay Clinics,Anyajegyszűrés,31959.0,2025-08-10,19:39:00,2025-08-10 19:39:00,nan
Zenon Clinic,Anyajegyszűrés,39370.0,2025-08-01,07:57:00,2025-08-01 07:57:00,nan
nan,Anyajegyszűrés,,2025-08-15,11:46:00,2025-08-15 11:46:00,nan
nan,Anyajegyszűrés,,2025-08-13,15:08:00,2025-08-13 15:08:00,nan
27 Sellő Mozgásszervi Terápiás Centrum,Bőrgyógyászat szakorvosi vizsgálat,31539.0,2025-07-24,19:26:00,2025-07-24 19:26:00,Budaörsi út 29
Aesthetica Orvosi Központ,Bőrgyógyászat szakorvosi vizsgálat,30991.0,2025-07-14,19:48:00,2025-07-14 19:48:00,"Budapest, Váci út 76"
Affidea Magyarország,Bőrgyógyászat szakorvosi vizsgálat,33212.0,2025-08-08,19:39:00,2025-08-08 19:39:00,"Budapest, Fövény utca 4"
Affidea Magyarország,Bőrgyógyászat szakorvosi vizsgálat,33212.0,2025-07-18,15:38:00,2025-07-18 15:38:00,"Budapest, Lövőház utca 2"
Affidea Magyarország,Bőrgyógyászat szakorvosi vizsgálat,33212.0,2025-07-11,15:26:00,2025-07-11 15:26:00,"Budapest, Szabadság tér 7."
Affidea Magyarország,Bőrgyógyászat szakorvosi vizsgálat,33212.0,2025-08-19,16:04:00,2025-08-19 16:04:00,"Budapest, Hercegprímás utca 14"
Affidea Magyarország,Bőrgyógyászat szakorvosi vizsgálat,33212.0,2025-07-31,07:41:00,2025-07-31 07:41:00,"Budapest, Örs vezér tere 25."
Affidea Magyarország,Bőrgyógyászat szakorvosi vizsgálat,33212.0,2025-07-21,16:45:00,2025-07-21 16:45:00,"Győr, Vasvári pál utca 2"
Caring Medical Center,Bőrgyógyászat szakorvosi vizsgálat,29313.0,2025-07-17,10:47:00,2025-07-17 10:47:00,"Budapest, Zsigmond tér 10."
Central Clinic,Bőrgyógyászat szakorvosi vizsgálat,33967.0,2025-08-01,18:09:00,2025-08-01 18:09:00,"Budapest, Rákóczi út 4"
Claro Klinika,Bőrgyógyászat szakorvosi vizsgálat,33175.0,2025-08-03,07:41:00,2025-08-03 07:41:00,"Budapest, Teréz krt. 24"
Clinexpert,Bőrgyógyászat szakorvosi vizsgálat,33845.0,2025-08-14,15:59:00,2025-08-14 15:59:00,"Budapest, Kaszásdűlő utca 7."
CMF Medical,Bőrgyógyászat szakorvosi vizsgálat,37631.0,2025-07-28,18:05:00,2025-07-28 18:05:00,"Budapest, Bécsi út 154"
CMF Medical,Bőrgyógyászat szakorvosi vizsgálat,37631.0,2025-08-18,17:35:00,2025-08-18 17:35:00,"Pilisvörösvár, Árpád utca 21"
CMF Medical,Bőrgyógyászat szakorvosi vizsgálat,37631.0,2025-07-14,12:17:00,2025-07-14 12:17:00,"Jászberény, Kossuth Lajos utca 5."
CMF Medical,Bőrgyógyászat szakorvosi vizsgálat,37631.0,2025-08-20,11:46:00,2025-08-20 11:46:00,"Biatorbágy, Mester utca 2"
CMF Medical,Bőrgyógyászat szakorvosi vizsgálat,37631.0,2025-07-23,13:48:00,2025-07-23 13:48:00,"Szentendre, Stromfeld Aurél utca 1/A"
Coordimed,Bőrgyógyászat szakorvosi vizsgálat,35489.0,2025-08-02,13:58:00,2025-08-02 13:58:00,"Budapest, Völgy utca 5"
Delfin Ultrahang,Bőrgyógyászat szakorvosi vizsgálat,36092.0,2025-07-16,18:19:00,2025-07-16 18:19:00,"Budapest, Pünkösdfürdő utca 48."
Dimenzió Orvosi Klinika,Bőrgyógyászat szakorvosi vizsgálat,28810.0,2025-08-14,09:37:00,2025-08-14 09:37:00,"Budaörs, Lomnici köz 19."
Dimenzió-Med Egészségközpont,Bőrgyógyászat szakorvosi vizsgálat,30683.0,2025-07-17,15:25:00,2025-07-17 15:25:00,"Budapest, Vécsey u. 3."
Doktor24,Bőrgyógyászat szakorvosi vizsgálat,37960.0,2025-07-21,07:18:00,2025-07-21 07:18:00,"Budapest, Koszorúslány u. 1."
Doktor24,Bőrgyógyászat szakorvosi vizsgálat,37960.0,2025-08-03,09:36:00,2025-08-03 09:36:00,"Budapest, Váci út 37."
Doktor24,Bőrgyógyászat szakorvosi vizsgálat,37960.0,2025-08-20,08:11:00,2025-08-20 08:11:00,"Budapest, Könyves Kálmán krt. 12-14."
Doktor24,Bőrgyógyászat szakorvosi vizsgálat,37960.0,2025-08-07,15:45:00,2025-08-07 15:45:00,"Paks, Tolnai út 93."
Doktor24,Bőrgyógyászat szakorvosi vizsgálat,37960.0,2025-07-31,12:05:00,2025-07-31 12:05:00,"Pécs, Málics Ottó utca 1."
Doktor24,Bőrgyógyászat szakorvosi vizsgálat,37960.0,2025-07-20,07:08:00,2025-07-20 07:08:00,"Szeged, Petőfi S. Sgt. 39."
Doktor24,Bőrgyógyászat szakorvosi vizsgálat,37960.0,2025-08-12,13:22:00,2025-08-12 13:22:00,"Székesfehérvár, Huszár utca 2."
Egressy Medical,Bőrgyógyászat szakorvosi vizsgálat,30435.0,2025-07-10,17:38:00,2025-07-10 17:38:00,"Budapest, Egressy út 28-30."
Emineo Magánkórház,Bőrgyógyászat szakorvosi vizsgálat,37091.0,2025-07-30,08:39:00,2025-07-30 08:39:00,"Budapest, Hegyalja út 7."
EndoCare Endokrinológiai Központ,Bőrgyógyászat szakorvosi vizsgálat,36627.0,2025-07-14,18:54:00,2025-07-14 18:54:00,"Budapest, Lechner Ödön fasor 7."
EntiTárs Egészségközpont,Bőrgyógyászat szakorvosi vizsgálat,38093.0,2025-07-17,13:36:00,2025-07-17 13:36:00,"Budapest, Vilánnyi út 22/A"
Erzsébet Dentál & Medical,Bőrgyógyászat szakorvosi vizsgálat,28762.0,2025-07-27,08:33:00,2025-07-27 08:33:00,Budapest Lajtha László utca 24.
ForHerMed Klinika,Bőrgyógyászat szakorvosi vizsgálat,39804.0,2025-07-15,11:29:00,2025-07-15 11:29:00,"Budapest, Bimbó út 108."
Főnix Medical Center,Bőrgyógyászat szakorvosi vizsgálat,28839.0,2025-07-15,19:31:00,2025-07-15 19:31:00,"Budapest, Sasadi út 184"
Gasztro Klinika,Bőrgyógyászat szakorvosi vizsgálat,35235.0,2025-08-17,11:49:00,2025-08-17 11:49:00,"Budapest, Bokor utca 17"
Geomedical,Bőrgyógyászat szakorvosi vizsgálat,29440.0,2025-07-25,08:58:00,2025-07-25 08:58:00,"Budapest, Kókai utca 6"
Globe Medical Center,Bőrgyógyászat szakorvosi vizsgálat,33840.0,2025-08-05,06:12:00,2025-08-05 06:12:00,"Budapest, Szalay utca 2"
Golden Medical Center,Bőrgyógyászat szakorvosi vizsgálat,33836.0,2025-07-25,19:40:00,2025-07-25 19:40:00,"Budapest, Tutaj utca 8."
Halas Medical Egészségközpont,Bőrgyógyászat szakorvosi vizsgálat,37790.0,2025-07-16,15:27:00,2025-07-16 15:27:00,"Kiskunhalas, Eötvös utca 19."
Haller Medical,Bőrgyógyászat szakorvosi vizsgálat,31355.0,2025-07-17,12:59:00,2025-07-17 12:59:00,"Budapest, Haller utca 23"
Halom Medical Egészségközpont,Bőrgyógyászat szakorvosi vizsgálat,29888.0,2025-07-25,13:08:00,2025-07-25 13:08:00,"Budapest, Halom utca 10"
Hattyú Medicina,Bőrgyógyászat szakorvosi vizsgálat,29207.0,2025-08-18,06:05:00,2025-08-18 06:05:00,"Budapest, Hattyú utca 16."
Health&Youth Egészségközpont,Bőrgyógyászat szakorvosi vizsgálat,36118.0,2025-07-10,06:44:00,2025-07-10 06:44:00,"Budapest,  Billegető utca 2/c"
Hepinet Ultrahanghálózat,Bőrgyógyászat szakorvosi vizsgálat,36475.0,2025-07-28,11:44:00,2025-07-28 11:44:00,"Budapest, Péterfy Sándor utca 8."
Hepinet Ultrahanghálózat,Bőrgyógyászat szakorvosi vizsgálat,39901.0,2025-08-07,19:22:00,2025-08-07 19:22:00,"Székesfehérvár, Budai út 49."
Hepinet Ultrahanghálózat,Bőrgyógyászat szakorvosi vizsgálat,34091.0,2025-07-17,19:24:00,2025-07-17 19:24:00,"Dunaújváros, Bartók Béla út 12. fszt. 1."
Hepinet Ultrahanghálózat,Bőrgyógyászat szakorvosi vizsgálat,34523.0,2025-07-15,18:12:00,2025-07-15 18:12:00,"Budapest, Fehérvári út 12. IV. emelet 408."
Hepinet Ultrahanghálózat,Bőrgyógyászat szakorvosi vizsgálat,33977.0,2025-08-19,09:45:00,2025-08-19 09:45:00,"Budapest, Árpád út 47."
Hepinet Ultrahanghálózat,Bőrgyógyászat szakorvosi vizsgálat,32518.0,2025-08-18,07:21:00,2025-08-18 07:21:00,"Budapest, Bosnyák utca 48-50. E lépcsőház fszt 1"
HT Medical Center,Bőrgyógyászat szakorvosi vizsgálat,28792.0,2025-07-27,11:09:00,2025-07-27 11:09:00,"Budapest, Pesti út 177."
Hungária Med-M,Bőrgyógyászat szakorvosi vizsgálat,36255.0,2025-07-11,12:40:00,2025-07-11 12:40:00,"Budapest, Jász u. 33-35."
Hungária Med-M,Bőrgyógyászat szakorvosi vizsgálat,37761.0,2025-07-25,16:49:00,2025-07-25 16:49:00,"Győr, Bajcsy-Zsilinszky utca 30-32"
IQB Medical Rózsadomb Center Egészségközpont,Bőrgyógyászat szakorvosi vizsgálat,35111.0,2025-07-10,13:15:00,2025-07-10 13:15:00,"Budapest, Törökvész út 87"
Istenhegyi Klinika,Bőrgyógyászat szakorvosi vizsgálat,39683.0,2025-08-09,07:39:00,2025-08-09 07:39:00,"Budapest, Istenhegyi út 31"
LilyMed termékenységi és nőgyógyászati magánrendelő,Bőrgyógyászat szakorvosi vizsgálat,38576.0,2025-08-11,14:26:00,2025-08-11 14:26:00,"Budapest, Tinódi utca 1-3"
Liv Duna Medical Center,Bőrgyógyászat szakorvosi vizsgálat,36705.0,2025-08-05,19:15:00,2025-08-05 19:15:00,"Budapest, Lechner Ödön fasor 5"
Ma Belle Medical,Bőrgyógyászat szakorvosi vizsgálat,32293.0,2025-07-20,13:15:00,2025-07-20 13:15:00,"Budapest, Andrássy út 43."
Madarász Ultrahang,Bőrgyógyászat szakorvosi vizsgálat,36255.0,2025-08-07,19:24:00,2025-08-07 19:24:00,"Budapest, Madarász Viktor utca 47-49"
Margit Híd Medical,Bőrgyógyászat szakorvosi vizsgálat,35184.0,2025-07-16,14:16:00,2025-07-16 14:16:00,"Budapest , Margit körút 5"
Mária Medical Magánrendelő,Bőrgyógyászat szakorvosi vizsgálat,38446.0,2025-07-25,06:44:00,2025-07-25 06:44:00,"Budapest, Hidegkúti út 82/b"
Medalpin Medical Center,Bőrgyógyászat szakorvosi vizsgálat,35380.0,2025-07-13,06:27:00,2025-07-13 06:27:00,"Budapest, Szállás utca 24"
Medcity Egészségközpont,Bőrgyógyászat szakorvosi vizsgálat,37103.0,2025-08-10,06:59:00,2025-08-10 06:59:00,"Budapest, Megyeri út 53"
Medical Healing Point,Bőrgyógyászat szakorvosi vizsgálat,33493.0,2025-08-07,08:32:00,2025-08-07 08:32:00,nan
Medical Point Egészségközpont,Bőrgyógyászat szakorvosi vizsgálat,37663.0,2025-07-27,10:00:00,2025-07-27 10:00:00,"Budapest, Madarász Viktor utca 47-49"
Medical Sport Rehabilitációs Központ,Bőrgyógyászat szakorvosi vizsgálat,37808.0,2025-07-29,11:56:00,2025-07-29 11:56:00,"Budapest, Bécsi út 3-5, V. em. 55"
Medicina Egészségközpont,Bőrgyógyászat szakorvosi vizsgálat,32047.0,2025-07-11,14:40:00,2025-07-11 14:40:00,"Budapest, Budakeszi út 36/C."
Medicina Egészségközpont,Bőrgyógyászat szakorvosi vizsgálat,36885.0,2025-07-23,07:10:00,2025-07-23 07:10:00,"Budapest, Istenhegyi út 31/b"
